id ; screen_name    ; created_at               ; full_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ; date      ; heure; semaine              ; mois   ; annee; Sentiment; Problematique               ; Score; Urgence; Reponse_automatique                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; Lieu                    ; Reparabilite; Solution                                                                                                                                                                                            ; Type
 11; AmirRamires    ; 2024-01-02 10:24:08+00:00; enedis ENGIEgroup ENGIEpartFR enedis_clients enedis_paris pour vous cest normal de laisser des familles sans électricité ?nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service lélectricité nEn plein mois de janvier ou les températures sont basses !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ; 2024-01-02;    10; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  75.0;     8.0; Nous sommes sincèrement désolés pour la situation que vous rencontrez.  Une semaine sans électricité en plein mois de janvier est inacceptable.  Pouvez-vous nous contacter directement au 09 74 73 54 01 afin que nous puissions accélérer la prise en charge de votre demande et programmer une intervention dans les plus brefs délais ? Nous ferons notre maximum pour vous fournir une solution rapidement.                                                                                                                                                                                                                                         ; Paris                   ;            3; Accélérer le processus de prise de rendez-vous avec un technicien et assurer une intervention rapide pour rétablir l’électricité.                                                                   ; Plainte
 12; AnneCremer2    ; 2024-01-03 09:19:30+00:00; ENGIEpartFR  j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait  impossible sur votre site.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ; 2024-01-03;     9; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Service client injoignable  ;  75.0;     7.0; Bonjour, nous vous prions sincèrement de nous excuser pour la difficulté à nous joindre et le retard de réponse à votre email. Nous comprenons votre frustration. Afin de vous aider au plus vite, pourriez-vous nous contacter par téléphone au 09 69 32 05 66 ? Un conseiller se tient à votre disposition pour vous accompagner dans la modification de votre forfait.                                                                                                                                                                                                                                                                                ; null                    ;            1; Améliorer la réactivité du service client et simplifier la modification des forfaits sur le site web.                                                                                               ; Plainte
 13; Eurpbo2016     ; 2024-01-03 14:40:58+00:00; ENGIEpartFR bonjour mon épouse na plus accès à son compte particulier pour consulter ses factures.nComment faire ?nMerci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ; 2024-01-03;    14; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes avec l’application;  30.0;     5.0; Bonjour, nous sommes désolés que votre épouse n'ait plus accès à son compte. Pourriez-vous nous contacter directement au 09 74 73 54 01 afin que nous puissions vous aider à résoudre ce problème?                                                                                                                                                                                                                                                                                                                                                                                                                                                       ; null                    ;            1; Réinitialiser le mot de passe du compte ou créer un nouveau compte.                                                                                                                                 ; Plainte
 14; hawaien88      ; 2024-01-04 08:33:30+00:00; ENGIEpartSAV Vous mavez demandé de venir en privé pour quon ne voit pas que vous ne répondez plus. Ma facture est de septembre et vous me dites quil sagit des consommations de septembre à décembre. Jattends toujours une explication.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ; 2024-01-04;     8; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  80.0;     7.0; Bonjour, nous vous prions sincèrement de nous excuser pour le retard de réponse et les erreurs sur votre facture. Nous comprenons votre frustration. Afin de clarifier la situation et de corriger le problème, nous vous invitons à contacter notre service client au 09 74 73 54 01. Un conseiller se fera un plaisir de vous aider.                                                                                                                                                                                                                                                                                                                   ; null                    ;            1; Vérifier et corriger la facture de septembre en tenant compte des consommations de septembre à décembre, puis informer le client des modifications apportées.                                       ; Plainte
 15; bbast____      ; 2024-01-04 12:31:53+00:00; Nayant pas Twitter je passe par le compte dun proche pour solliciter ENGIEpartFR qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. Comment débloquer cette situation qui me pèse depuis des mois ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ; 2024-01-04;    12; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  80.0;     7.0; Bonjour, nous sommes sincèrement désolés pour la situation que vous rencontrez avec vos factures. Nous comprenons que cela soit difficile, et nous tenons à vous aider à résoudre ce problème. Veuillez contacter notre service client au 09 74 73 54 01 afin qu'ils puissent examiner votre situation et vous apporter l'assistance nécessaire.                                                                                                                                                                                                                                                                                                         ; null                    ;            3; Vérifier le détail des factures, et contacter le service client pour clarifier les sommes réclamées.                                                                                                ; Plainte
 16; chiquitamala   ; 2024-01-04 13:34:11+00:00; ENGIEpartSAV ENGIEpartFR sommes arrivés à 624.32,  je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. Merci encore pour votre attention.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ; 2024-01-04;    13; 2024-01-01/2024-01-07; 2024-01;  2024; Positif  ; aucune                      ;   0.0;     0.0; Bonjour, nous vous remercions pour votre message et votre confiance.  Nous sommes ravis de constater votre engagement.  Bonne journée à vous aussi !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ; null                    ;            0; aucune                                                                                                                                                                                              ; Positif
 17; WhoCares188    ; 2024-01-05 07:55:39+00:00; Comme les afficher cest ce qui marche, ENGIEpartSAV ENGIEpartFR, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que jattends mes sous!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ; 2024-01-05;     7; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     7.0; Bonjour, nous vous prions sincèrement de nous excuser pour le retard concernant le remboursement de votre facture. Nous comprenons votre frustration. Pouvez-vous nous contacter par message privé afin que nous puissions accélérer le processus et résoudre ce problème au plus vite ?                                                                                                                                                                                                                                                                                                                                                                 ; null                    ;            1; Accélérer le processus de remboursement et contacter le client pour obtenir plus d'informations.                                                                                                    ; Plainte
 18; OPredhomme     ; 2024-01-05 09:52:06+00:00; .ENGIEpartFR déjà une semaine et demi sans nouvelle de votre part. Plus deau chaude. Plus de chauffage. On fait comment pour avoir une réponse??? Cest quoi ce service client??? ENGIEgroup                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ; 2024-01-05;     9; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  90.0;    10.0; Bonjour, nous sommes sincèrement désolés pour la situation que vous rencontrez. L'absence d'eau chaude et de chauffage est un problème majeur, et nous comprenons votre frustration face au manque de réponse. Veuillez nous contacter au 09 74 73 54 01 afin que nous puissions vous assister au plus vite et résoudre ce problème.                                                                                                                                                                                                                                                                                                                     ; null                    ;            5; Envoyer une équipe de techniciens sur place dans les plus brefs délais pour réparer la panne de chauffage et d'eau chaude.                                                                          ; Plainte
 19; AykCtk         ; 2024-01-06 15:07:35+00:00; ENGIEpartFR Bonjour,nJe vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriezvous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280 pour le mois de novembre ? App. de 67m2 entièrement refait à neuf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; 2024-01-06;    15; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     7.0; Bonjour, nous sommes sincèrement désolés pour le manque de réponse à votre DM et pour le désagrément causé par vos factures. Nous comprenons que la facture de 280 euros pour novembre pour un appartement de 67m² rénové soit élevée. Afin de vous aider au mieux, pourriez-vous nous contacter par téléphone au 09 74 73 54 01 afin que nous puissions examiner votre situation et vous apporter une solution?                                                                                                                                                                                                                                         ; null                    ;            2; Vérifier le détail de la facture et contacter le client pour apporter des éclaircissements sur les points litigieux.                                                                                ; Plainte
 20; Bonheur151     ; 2024-01-06 21:15:38+00:00; BrunoLeMaire  deux questions  moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de lélectricité ? ENGIEgroup augmenter labonnement de 35 cest à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs  Jattends vos retours !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ; 2024-01-06;    21; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     7.0; Bonjour, nous comprenons votre frustration concernant l'augmentation de vos factures d'électricité. Nous vous invitons à nous contacter directement au 09 69 32 01 02 afin que nous puissions examiner votre situation et vous apporter des explications claires sur les raisons de cette augmentation.  Nous restons à votre écoute.                                                                                                                                                                                                                                                                                                                    ; null                    ;            0; Analyser les factures du client et expliquer les augmentations de prix, potentiellement proposer des solutions pour réduire les coûts.                                                              ; Plainte
 21; jouanetwan     ; 2024-01-08 19:01:43+00:00; ENGIEpartSAV Bonjour ENGIEpartSAV , lappli monpilotageelec   Nouveau bug, il fait 3 degrés engie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ; 2024-01-08;    19; 2024-01-08/2024-01-14; 2024-01;  2024; Négatif  ; Problèmes avec l’application;  70.0;     7.0; Bonjour, nous sommes désolés pour le bug rencontré sur l'application Mon Pilotage Elec. Nos équipes travaillent actuellement à résoudre le problème. En attendant, pourriez-vous essayer de redémarrer votre application ou votre téléphone ? Si le problème persiste, n'hésitez pas à nous contacter directement.                                                                                                                                                                                                                                                                                                                                       ; null                    ;            3; Envoyer une équipe technique pour corriger le bug sur l'application.                                                                                                                                ; Plainte
